"","E.C.Spr","E.C.Fall","E.F.Spr","E.F.Fall","E.pempty","E.pemptycapelin","C.C.Spr","C.C.Fall","C.F.Spr","C.F.Fall","C.pemptycapelin","C.pempty"
"1",0,21,0,7,"100.00"," 0.000",488,1932,22,36,"98.83","65.21"
"2",539,1883,659,1171," 79.26"," 7.502",3486,19218,110,822,"89.09","19.30"
"3",1155,2883,1002,1486," 71.88"," 5.915",1451,8809,40,605,"83.91","13.46"
"4",346,1521,4,175," 95.11","37.195",872,3991,17,747,"96.94","28.91"
"5",2908,6032,32,1083," 71.68","40.348",4338,13527,62,2618,"81.29","37.69"
"6",1174,4005,31,890," 76.11","48.328",1405,6810,26,1286,"91.70","47.57"
"7",1687,5740,180,244," 97.83","68.233",8225,14508,182,621,"97.79","60.94"
"8",2736,9484,420,550," 91.52","54.754",5528,7969,124,392,"92.95","58.80"
